id,name,nametype,recclass,mass,year,reclat,reclong,coordinates
5315,Chainpur,Valid,LL3.4,8200.0,1907-01-01,25.85,83.48333,"[83, 25]"
5316,Chajari,Valid,L5,18300.0,1933-01-01,-30.78333,-58.05,"[-58, -30]"
5320,Chandakapur,Valid,L5,8800.0,1838-01-01,20.26667,76.01667,"[76, 20]"
5321,Chandpur,Valid,L6,1100.0,1885-01-01,27.28333,79.05,"[79, 27]"
5322,Changde,Valid,H5,1810.0,1977-01-01,29.08333,111.75,"[111, 29]"
5325,Chantonnay,Valid,L6,31500.0,1812-01-01,46.68333,1.05,"[1, 46]"
5328,Charlotte,Valid,"Iron, IVA",4300.0,1835-01-01,36.16667,-87.33333,"[-87, 36]"
5329,Charsonville,Valid,H6,27000.0,1810-01-01,47.93333,1.56667,"[1, 47]"
5330,Charwallas,Valid,H6,12000.0,1834-01-01,29.48333,75.5,"[75, 29]"
5331,Chassigny,Valid,Martian (chassignite),4000.0,1815-01-01,47.71667,5.36667,"[5, 47]"
5332,Château-Renard,Valid,L6,30000.0,1841-01-01,47.93333,2.91667,"[2, 47]"
5334,Chaves,Valid,Howardite,2945.0,1925-01-01,41.93333,-7.46667,"[-7, 41]"
5338,Chela,Valid,H4,2936.0,1988-01-01,-3.66667,32.5,"[32, -3]"
57165,Chelyabinsk,Valid,LL5,100000.0,2013-01-01,54.81667,61.11667,"[61, 54]"
47347,Chergach ,Valid,H5,100000.0,2007-01-01,23.69639,-5.01472,"[-5, 23]"
5339,Chernyi Bor,Valid,H4,6000.0,1964-01-01,53.7,30.1,"[30, 53]"
5340,Cherokee Springs,Valid,LL6,8400.0,1933-01-01,35.03333,-81.88333,"[-81, 35]"
5341,Chervettaz,Valid,L5,705.0,1901-01-01,46.55,6.81667,"[6, 46]"
5342,Chervony Kut,Valid,Eucrite-mmict,1700.0,1939-01-01,50.83333,34.0,"[34, 50]"
5344,Chetrinahatti,Valid,Stone-uncl,72.0,1880-01-01,14.5,76.5,"[76, 14]"
5345,Chiang Khan,Valid,H6,367.0,1981-01-01,17.9,101.63333,"[101, 17]"
5349,Chicora,Valid,LL6,303.0,1938-01-01,40.93333,-79.73333,"[-79, 40]"
5355,Chisenga,Valid,"Iron, IIIAB",3920.0,1988-01-01,-10.05944,33.395,"[33, -10]"
5357,Chitenay,Valid,L6,4000.0,1978-01-01,47.47083,0.97667,"[0, 47]"
5364,Cilimus,Valid,L5,1600.0,1979-01-01,-6.95,108.1,"[108, -6]"
5374,Claxton,Valid,L6,1455.0,1984-01-01,32.1025,-81.87278,"[-81, 32]"
5395,Colby (Wisconsin),Valid,L6,104000.0,1917-01-01,44.9,-90.28333,"[-90, 44]"
5397,Cold Bokkeveld,Valid,CM2,5200.0,1838-01-01,-33.13333,19.38333,"[19, -33]"
5401,Coleman,Valid,L6,469.0,1994-01-01,43.76111,-84.50778,"[-84, 43]"
5403,Collescipoli,Valid,H5,5000.0,1890-01-01,42.53333,12.61667,"[12, 42]"
5418,Conquista,Valid,H4,20350.0,1965-01-01,-19.85,-47.55,"[-47, -19]"
5451,Cosina,Valid,H5,1200.0,1844-01-01,21.16667,-100.86667,"[-100, 21]"
5465,Cranganore,Valid,L6,1460.0,1917-01-01,10.2,76.26667,"[76, 10]"
5470,Crescent,Valid,CM2,78.4,1936-01-01,35.95,-97.58333,"[-97, 35]"
5474,Cronstad,Valid,H5,3650.0,1877-01-01,-27.7,27.3,"[27, -27]"
5476,Cross Roads,Valid,H5,167.0,1892-01-01,35.63333,-78.13333,"[-78, 35]"
5477,Crumlin,Valid,L5,4255.0,1902-01-01,54.61667,-6.21667,"[-6, 54]"
5496,Cumberland Falls,Valid,Aubrite,17000.0,1919-01-01,36.83333,-84.35,"[-84, 36]"
5500,Cynthiana,Valid,L/LL4,6000.0,1877-01-01,38.4,-84.25,"[-84, 38]"
5504,Dahmani,Valid,LL6,18000.0,1981-01-01,35.61667,8.83333,"[8, 35]"
5511,Dandapur,Valid,L6,5650.0,1878-01-01,26.91667,83.96667,"[83, 26]"
5513,Daniel's Kuil,Valid,EL6,1064.0,1868-01-01,-28.2,24.56667,"[24, -28]"
5514,Danville,Valid,L6,2000.0,1868-01-01,34.4,-87.06667,"[-87, 34]"
6603,Darmstadt,Valid,H5,100.0,1804-01-01,49.86667,8.65,"[8, 49]"
6604,Dashoguz,Valid,H5,7000.0,1998-01-01,41.98444,59.685,"[59, 41]"
51559,Daule,Valid,L5,6580.0,2008-01-01,-1.87089,-79.95756,"[-79, -1]"
6621,De Cewsville,Valid,H6,340.0,1887-01-01,43.0,-80.0,"[-80, 43]"
6634,Deal,Valid,L6,28.0,1829-01-01,40.25,-74.0,"[-74, 40]"
6642,Delhi,Valid,L5,0.8,1897-01-01,28.56667,77.25,"[77, 28]"
6649,Demina,Valid,L6,16400.0,1911-01-01,51.46667,84.76667,"[84, 51]"
6660,Denver,Valid,L6,230.0,1967-01-01,39.7825,-104.93056,"[-104, 39]"
6664,Dergaon,Valid,H5,12500.0,2001-01-01,26.68333,93.86667,"[93, 26]"
6693,Desuri,Valid,H6,25400.0,1962-01-01,25.73333,73.61667,"[73, 25]"
6694,Devgaon,Valid,H3.8,12000.0,2001-01-01,19.0,81.0,"[81, 19]"
6696,Devri-Khera,Valid,L6,1140.0,1994-01-01,24.225,76.525,"[76, 24]"
6698,Dhajala,Valid,H3.8,45000.0,1976-01-01,22.37778,71.42722,"[71, 22]"
6699,Dharwar,Valid,OC,1800.0,1848-01-01,14.88333,75.6,"[75, 14]"
7640,Dhurmsala,Valid,LL6,32000.0,1860-01-01,32.23333,76.46667,"[76, 32]"
47350,Didim,Valid,H3-5,3396.0,2007-01-01,37.35172,27.32997,"[27, 37]"
7642,Diep River,Valid,L6,1000.0,1906-01-01,-33.75,18.56667,"[18, -33]"
7649,Distrito Quebracho,Valid,H4,400.0,1957-01-01,-31.88333,-60.46667,"[-60, -31]"
7652,Djati-Pengilon,Valid,H6,166000.0,1884-01-01,-7.5,111.5,"[111, -7]"
7656,Djermaia,Valid,H,3950.0,1961-01-01,12.73333,15.05,"[15, 12]"
7657,Djoumine,Valid,H5-6,10000.0,1999-01-01,36.95,9.55,"[9, 36]"
7658,Dokachi,Valid,H5,3840.0,1903-01-01,23.5,90.33333,"[90, 23]"
7659,Dolgovoli,Valid,L6,1600.0,1864-01-01,50.75,25.3,"[25, 50]"
7661,Domanitch,Valid,L5,438.0,1907-01-01,40.0,29.0,"[29, 40]"
7706,Dong Ujimqin Qi,Valid,Mesosiderite,128800.0,1995-01-01,45.5,119.03333,"[119, 45]"
7707,Donga Kohrod,Valid,H6,230.0,1899-01-01,21.86667,82.45,"[82, 21]"
7708,Dongtai,Valid,LL6,5500.0,1970-01-01,32.91667,120.78333,"[120, 32]"
7718,Doroninsk,Valid,H5-7,3891.0,1805-01-01,51.2,112.3,"[112, 51]"
7722,Dosso,Valid,L6,1250.0,1962-01-01,13.05,3.16667,"[3, 13]"
7723,Douar Mghila,Valid,LL6,1161.0,1932-01-01,32.33333,-6.3,"[-6, 32]"
7725,Dowa,Valid,Stone-uncl,642.0,1976-01-01,-13.66667,33.91667,"[33, -13]"
7728,Drake Creek,Valid,L6,5000.0,1827-01-01,36.4,-86.5,"[-86, 36]"
7731,Dresden (Ontario),Valid,H6,47700.0,1939-01-01,42.52,-82.26,"[-82, 42]"
7736,Dubrovnik,Valid,L3-6,1900.0,1951-01-01,42.45833,18.44167,"[18, 42]"
7743,Dunbogan,Valid,L6,30.0,1999-01-01,-31.66667,152.83333,"[152, -31]"
7745,Dundrum,Valid,H5,2270.0,1865-01-01,52.55,-8.03333,"[-8, 52]"
7750,Durala,Valid,L6,13200.0,1815-01-01,30.3,76.63333,"[76, 30]"
7752,Duruma,Valid,L6,577.0,1853-01-01,-4.0,39.5,"[39, -4]"
